"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.439415833E-1,-7.264992371E0,2.097288666E0,5.185366974E0,9.168792971E0
6.539985833E-1,-6.862778778E0,3.202440491E0,5.725743256E0,9.494076758E0
6.640555833E-1,-5.128485260E0,5.460794220E0,6.189927979E0,9.717862057E0
6.741125833E-1,-5.015320587E0,4.778363342E0,5.776188354E0,9.019453904E0
6.841695833E-1,-5.181175690E0,3.663182373E0,5.771697693E0,8.577644250E0
6.942255833E-1,-4.885690155E0,3.798201599E0,5.711672516E0,8.421372015E0
7.042825833E-1,-5.216352539E0,3.742367706E0,5.179529114E0,8.248828505E0
7.143395833E-1,-5.366190948E0,3.836671600E0,4.840184784E0,8.181897274E0
7.243965833E-1,-5.811963959E0,4.121080170E0,4.930746460E0,8.664553507E0
7.344535833E-1,-6.392606506E0,4.445006561E0,5.394631805E0,9.472357341E0
7.445105833E-1,-6.774312744E0,4.951104126E0,5.946983185E0,1.028452013E1
7.545675833E-1,-7.045099640E0,5.274282074E0,6.352789307E0,1.085400444E1
7.646245833E-1,-7.951764221E0,5.421426086E0,6.445895691E0,1.158326320E1
7.746815833E-1,-8.333320770E0,5.436245270E0,6.289321289E0,1.177083514E1
7.847375832E-1,-7.510182495E0,5.131928101E0,5.935307465E0,1.086127994E1
7.947945833E-1,-6.361022186E0,4.948709106E0,5.274132385E0,9.631656010E0
8.048515833E-1,-5.592969360E0,4.920717316E0,4.877307587E0,8.904094253E0
8.149085833E-1,-4.903952179E0,5.070406036E0,5.158572693E0,8.738915069E0
8.249655833E-1,-4.714595947E0,4.712949371E0,5.470224609E0,8.623378920E0
8.350225833E-1,-4.935985565E0,4.485272827E0,6.191873932E0,9.100600454E0
8.450795833E-1,-4.686753845E0,5.287005615E0,6.923253021E0,9.891891749E0
8.551365833E-1,-4.266876984E0,5.481451263E0,6.590195618E0,9.575135792E0
8.651935833E-1,-4.973707123E0,5.345833282E0,5.876928864E0,9.373045871E0
8.752495833E-1,-5.544470215E0,5.414091339E0,5.208119659E0,9.336918409E0
8.853065833E-1,-5.367837524E0,5.827232208E0,4.979994049E0,9.357919407E0
8.953635833E-1,-4.348906403E0,6.275100861E0,5.442681885E0,9.376175329E0
9.054205833E-1,-4.471351776E0,5.864205322E0,5.796695709E0,9.379955859E0
9.154775833E-1,-5.178481293E0,5.310506744E0,6.242768097E0,9.694859663E0
9.255345833E-1,-5.613027649E0,5.111720123E0,6.242768097E0,9.828932573E0
9.355915833E-1,-5.974974976E0,5.168751526E0,5.919141083E0,9.871805785E0
9.456485834E-1,-6.063740387E0,5.372926941E0,5.594166870E0,9.845404733E0
9.557055833E-1,-6.186185760E0,5.608686676E0,5.646557922E0,1.008017246E1
9.657625833E-1,-6.266568604E0,5.688171387E0,5.787265320E0,1.025268822E1
9.758185833E-1,-6.155649261E0,5.641019440E0,5.747597809E0,1.013646875E1
9.858755833E-1,-6.126909027E0,5.730084229E0,5.674998779E0,1.012810400E1
9.959325833E-1,-6.147715759E0,5.824238434E0,5.655688934E0,1.018346600E1
1.005989583E0,-6.194119263E0,5.936954041E0,5.696703644E0,1.029888194E1
1.016046583E0,-6.424639893E0,6.210734711E0,6.078260193E0,1.080714904E1
1.026103583E0,-6.794820099E0,6.430777130E0,6.369704132E0,1.131802127E1
1.036160583E0,-7.308402100E0,6.458020477E0,6.160139923E0,1.153542776E1
1.046217583E0,-7.573800201E0,6.561605072E0,6.007906494E0,1.168383717E1
1.056274583E0,-7.679181061E0,6.733597412E0,6.100114746E0,1.189632531E1
1.066330583E0,-7.806266785E0,6.893914032E0,6.218967590E0,1.213010345E1
1.076387583E0,-8.060887299E0,7.089856567E0,6.391408997E0,1.249376161E1
1.086444583E0,-8.327333221E0,7.314838715E0,6.339317322E0,1.276864472E1
1.096501583E0,-8.645571442E0,7.500153351E0,6.108796692E0,1.297365033E1
1.106558583E0,-8.844507751E0,7.543114014E0,6.033503265E0,1.309683351E1
1.116615583E0,-8.845854950E0,7.500452728E0,5.938899994E0,1.302983016E1
1.126672583E0,-8.877588959E0,7.407645721E0,5.748046875E0,1.291219748E1
1.136729583E0,-8.981622620E0,7.222031708E0,5.556744690E0,1.279471369E1
1.146786583E0,-8.935518494E0,7.142247620E0,5.357209625E0,1.263150374E1
1.156842583E0,-8.851992188E0,7.204218750E0,5.458848267E0,1.265138561E1
1.166899583E0,-9.017697601E0,7.293582916E0,5.340743866E0,1.276866347E1
1.176956583E0,-9.247170410E0,7.214397583E0,4.354145508E0,1.251064651E1
1.187013583E0,-9.396859131E0,7.023095398E0,3.663032684E0,1.228994056E1
1.197070583E0,-8.961714020E0,6.714586945E0,3.513343964E0,1.173633596E1
1.207127583E0,-8.915011139E0,6.762786713E0,3.172951813E0,1.163100731E1
1.217184583E0,-9.723479919E0,6.962770844E0,3.181933136E0,1.237541668E1
1.227241583E0,-9.920769653E0,6.878645782E0,3.595373383E0,1.259619578E1
