"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.348416670E-3,-4.085005188E-1,9.865833893E0,4.947212219E-1,9.886672856E0
1.140541665E-2,-5.031037903E-1,9.878407745E0,5.041516113E-1,9.904050780E0
2.146341663E-2,-5.349874878E-1,9.843979340E0,5.180726624E-1,9.872109204E0
3.152041661E-2,-4.882846069E-1,9.855804749E0,5.780978394E-1,9.884811896E0
4.157741659E-2,-3.800596619E-1,9.829459534E0,7.420069885E-1,9.864750095E0
5.163541657E-2,-2.733316040E-1,9.789941711E0,9.306147766E-1,9.837871352E0
6.169241667E-2,-1.528321838E-1,9.767189026E0,1.115031281E0,9.831817426E0
7.174941665E-2,-9.400451660E-2,9.749226379E0,1.205443268E0,9.823917005E0
8.180741663E-2,-4.385879517E-2,9.734706573E0,1.230291595E0,9.812239962E0
9.186441661E-2,-1.960922241E-2,9.724228363E0,1.161883850E0,9.793414923E0
1.019215416E-1,-6.451583862E-2,9.769733734E0,1.072070618E0,9.828590689E0
1.119785416E-1,-1.249900818E-1,9.840835876E0,1.023421783E0,9.894698854E0
1.220365416E-1,-5.912704468E-2,9.799970856E0,1.040935364E0,9.855276313E0
1.320935416E-1,-4.610412598E-2,9.778715057E0,1.007255402E0,9.830562405E0
1.421505417E-1,-1.240919495E-1,9.815239105E0,9.355545044E-1,9.860506059E0
1.522085416E-1,-1.815724182E-1,9.816885681E0,9.119036865E-1,9.860820521E0
1.622655416E-1,-2.249821472E-1,9.824669495E0,9.331594849E-1,9.871450464E0
1.723225416E-1,-1.854643250E-1,9.805808716E0,1.011895752E0,9.859625480E0
1.823795416E-1,-1.269360352E-1,9.831405487E0,1.109043732E0,9.894575514E0
1.924375416E-1,-1.293310547E-1,9.845027161E0,1.182241516E0,9.916601299E0
2.024945416E-1,-5.658233643E-2,9.834848328E0,1.273701324E0,9.917144662E0
2.125515416E-1,-3.817062378E-2,9.799970856E0,1.245709534E0,9.878900648E0
2.226095416E-1,-9.145980835E-2,9.810000000E0,1.171314240E0,9.880103337E0
2.326665416E-1,-2.077679443E-1,9.815837860E0,1.124311981E0,9.882202075E0
2.427235416E-1,-2.612068176E-1,9.793534241E0,1.046623535E0,9.852764219E0
2.527805417E-1,-2.817141724E-1,9.798324280E0,1.010099487E0,9.854279402E0
2.628385416E-1,-2.703378296E-1,9.790241089E0,9.907896423E-1,9.843960953E0
2.728955416E-1,-2.351609802E-1,9.757758636E0,9.211843872E-1,9.803965268E0
2.829525416E-1,-1.971400452E-1,9.774224396E0,9.738748169E-1,9.824599681E0
2.930105416E-1,-1.660047913E-1,9.776769104E0,1.060843964E0,9.835555989E0
3.030675416E-1,-1.375639343E-1,9.770781555E0,1.072968750E0,9.830481065E0
3.131245417E-1,-1.377136230E-1,9.759554901E0,1.046024780E0,9.816417104E0
3.231815416E-1,-1.613644409E-1,9.764494629E0,1.070124664E0,9.824284230E0
3.332395416E-1,-1.188528442E-1,9.750573578E0,1.122815094E0,9.815728441E0
3.432965416E-1,-8.966354370E-2,9.717791748E0,1.145717468E0,9.785508905E0
3.533535416E-1,-8.547225952E-2,9.726024628E0,1.117725677E0,9.790412211E0
3.634115416E-1,-1.133143616E-1,9.717642059E0,1.070124664E0,9.777043220E0
3.734685417E-1,-1.670526123E-1,9.720635834E0,1.032552795E0,9.776749606E0
3.835255416E-1,-1.959425354E-1,9.749525757E0,1.025367737E0,9.805254966E0
3.935825416E-1,-1.098715210E-1,9.707762604E0,1.078507233E0,9.768106489E0
4.036405416E-1,-1.199006653E-1,9.695787506E0,1.072669373E0,9.755679941E0
4.136975416E-1,-1.273851013E-1,9.723330231E0,1.099763031E0,9.786156368E0
4.237545417E-1,-1.266366577E-1,9.718240814E0,1.096020813E0,9.780669864E0
4.338125417E-1,-1.266366577E-1,9.723479919E0,1.060095520E0,9.781917046E0
4.438695416E-1,-1.248403931E-1,9.734706573E0,1.016087036E0,9.788387511E0
4.539265416E-1,-1.140628052E-1,9.755662994E0,1.038390656E0,9.811433429E0
4.639835416E-1,-8.801696777E-2,9.792037354E0,1.088985443E0,9.852798172E0
4.740415416E-1,-7.065307617E-2,9.776469727E0,1.159339142E0,9.845223178E0
4.840985417E-1,-4.745132446E-2,9.783954163E0,1.175505524E0,9.854431689E0
4.941555416E-1,-5.598358154E-2,9.801767120E0,1.167572021E0,9.871220657E0
5.042135416E-1,-1.041833496E-1,9.810000000E0,1.133742371E0,9.875845581E0
5.142705416E-1,-1.243913269E-1,9.809850311E0,1.129551086E0,9.875450470E0
5.243275416E-1,-1.210981750E-1,9.782756653E0,1.077758789E0,9.842690511E0
5.343855416E-1,-1.404080200E-1,9.770631866E0,9.837542725E-1,9.821035279E0
5.444425417E-1,-1.329235840E-1,9.775421906E0,9.509724426E-1,9.822468666E0
5.544995416E-1,-1.166075134E-1,9.779762878E0,9.616003418E-1,9.827615911E0
5.645565416E-1,-1.438508606E-1,9.781110077E0,1.013692017E0,9.834550265E0
5.746145416E-1,-1.550775146E-1,9.795779572E0,1.074465637E0,9.855750750E0
5.846715416E-1,-1.610650635E-1,9.787696381E0,1.120569763E0,9.852949761E0
5.947285416E-1,-1.678010559E-1,9.769584045E0,1.119671631E0,9.834967930E0
6.047865417E-1,-2.056723022E-1,9.759704590E0,1.132095795E0,9.827297475E0
6.148435416E-1,-2.299218750E-1,9.743987274E0,1.138532410E0,9.812971421E0
6.249005416E-1,-2.025288391E-1,9.749825134E0,1.156944122E0,9.820317092E0
6.349575416E-1,-1.695973206E-1,9.770931244E0,1.188229065E0,9.844376513E0
6.450155416E-1,-1.558259583E-1,9.795779572E0,1.241069183E0,9.875314266E0
6.550725416E-1,-1.552272034E-1,9.823771362E0,1.274000702E0,9.907252750E0
6.651295417E-1,-1.595681763E-1,9.831255798E0,1.230590973E0,9.909258636E0
6.751875416E-1,-1.886077881E-1,9.848470001E0,1.176253967E0,9.920257439E0
6.852445416E-1,-1.751358032E-1,9.812993774E0,1.057251434E0,9.871337293E0
